Please enter participant ID number,Democratic Presidential Primary,School,US House (District 8),US House (District 20),US House (District 25),U.S. House (District 27),U.S. House (District 28),U.S. House (District 29),U.S. House (District 30),US House (District 31),U.S. House (District 32),US House (District 33),U.S. House (District 34),U.S. House (District 37),U.S. House (District 38),U.S. House (District 40),US House (District 41),U.S. House (District 43),U.S. House (District 44),U.S. House (District 47),California Proposition 13
ARL2020,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2021,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2023,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2024,Michael Bloomberg (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,No
arl2025,Joe Biden (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2028,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2029,Pete Buttigieg (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL2030,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2031,Elizabeth Warren (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2032,Michael Bloomberg (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2033,Tulsi Gabbard (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2034,Pete Buttigieg (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,Yes
ARL2036,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2037,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2038,Elizabeth Warren (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL2039,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2041,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2042,Pete Buttigieg (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2043,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,No
ARL2044,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2045,Tulsi Gabbard (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2048,Tulsi Gabbard (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2049,Michael Bloomberg (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2050,Pete Buttigieg (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2051,Pete Buttigieg (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,Yes
ARL2052,Tulsi Gabbard (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2053,Tulsi Gabbard (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2054,Joe Biden (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2055,Michael Bloomberg (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,No
ARL2056,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
